,ix_bitrate,youtube_viewchange,youtube_views,steam_users,steam_ingame,twitch_views,twitch_channels,twitch_viewtime,twitch_streams,ps_users,stock_med,stock_bank,stock_energy,stock_oil,stock_steel,stock_automotive,stock_telecom,stock_tech,corona_deaths,corona_confirmed,corona_recovered,corona_active,new_confirmed,corona_new_recovered,Date
325,0.6786357,,,,,-1.2172991,-1.0254033,-1.1234206,-0.9206999,0.23387581,-0.20775111,0.81101614,0.9817572,0.079989664,1.0577016,1.6011474,0.39366376,0.23978145,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-22
326,0.6041846,,,,,-1.2168802,-1.0181653,-1.1170243,-0.9027544,0.17364116,-0.20197663,0.8768775,0.9892354,0.13425572,1.0909069,1.5449394,0.5605956,0.239337,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-23
327,0.60652345,,,-0.77235353,0.937375,-1.2149174,-1.0104666,-1.1090217,-0.8841462,0.22493006,-0.19620213,0.94273883,0.9967136,0.18852179,1.124112,1.4887315,0.72752744,0.23889254,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-24
328,0.6269856,,,-0.21714117,1.3187104,-1.2113041,-1.0022832,-1.0993297,-0.86486644,0.5035401,-0.19640832,0.9157809,1.0041738,0.1845972,1.1107831,1.4815024,0.7362568,0.24261561,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-25
329,0.612126,,,0.02263324,1.5092155,-1.2059338,-0.99359185,-1.0878658,-0.84490615,0.98889613,-0.19661452,0.8888229,1.0116341,0.18067259,1.0974543,1.4742733,0.7449862,0.2463387,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-26
330,0.5371567,,,0.10668002,1.5877796,-1.1987,-0.9843688,-1.0745472,-0.8242566,1.5088423,-0.1968207,0.8618649,1.0190943,0.176748,1.0841255,1.4670442,0.7537155,0.25006175,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-27
331,0.45142645,,,0.19627188,1.6497492,-1.189496,-0.97459054,-1.0592909,-0.80290884,1.7822838,-0.22241656,0.7148927,1.0328426,0.28429478,1.1732166,1.4200982,0.59676766,0.24968754,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-28
332,0.39344692,,,0.2887228,1.7136667,-1.1782155,-0.9642336,-1.0420141,-0.780854,1.6447182,-0.042744152,0.8906777,1.1003382,0.50949717,1.3218147,1.5614375,1.0145878,0.23267029,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-29
333,0.46037126,,,0.3674971,1.7737924,-1.1647518,-0.95327425,-1.0226341,-0.7580833,1.2148257,0.06581654,1.0390195,1.2188054,0.6069887,1.2953075,1.4239215,1.1049187,0.017431403,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-30
334,0.6254362,,,0.4243454,1.8235526,-1.1489984,-0.94168913,-1.0010681,-0.7345877,0.7728069,0.086375296,1.0424917,1.0531735,0.57430804,1.2612582,1.3783879,0.89734733,-0.060919326,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-01
