,in,,out
1562470199999,1.44563364E10,1562470199999,1.44563364E10
1562473799999,1.58182963E10,1562473799999,1.58182963E10
1562477399999,1.88330557E10,1562477399999,1.88330557E10
1562480999999,2.19315978E10,1562480999999,2.19315978E10
1562484599999,2.52974981E10,1562484599999,2.52974981E10
1562488199999,2.72768594E10,1562488199999,2.72768594E10
1562491799999,2.83761951E10,1562491799999,2.83761951E10
1562495399999,2.90898534E10,1562495399999,2.90898534E10
1562498999999,3.01409362E10,1562498999999,3.01409362E10
1562502599999,3.01190984E10,1562502599999,3.01190984E10
1562506199999,3.10830305E10,1562506199999,3.10830305E10
1562509799999,3.2719147E10,1562509799999,3.2719147E10
1562513399999,3.3624873E10,1562513399999,3.3624873E10
1562516999999,3.5498799E10,1562516999999,3.5498799E10
1562520599999,3.7280518E10,1562520599999,3.7280518E10
1562524199999,3.8599619E10,1562524199999,3.8599619E10
1562527799999,3.6660691E10,1562527799999,3.6660691E10
1562531399999,3.11913697E10,1562531399999,3.11913697E10
1562534999999,2.68763136E10,1562534999999,2.68763136E10
1562538599999,2.0187906E10,1562538599999,2.0187906E10
1562542199999,1.69420216E10,1562542199999,1.69420216E10
1562545799999,1.50849096E10,1562545799999,1.50849096E10
1562549399999,1.3753345E10,1562549399999,1.3753345E10
1562552999999,1.39115172E10,1562552999999,1.39115172E10
1562556599999,1.5387052E10,1562556599999,1.5387052E10
1562560199999,2.01840476E10,1562560199999,2.01840476E10
1562563799999,2.50780959E10,1562563799999,2.50780959E10
1562567399999,3.09828403E10,1562567399999,3.09828403E10
1562570999999,3.42241014E10,1562570999999,3.42241014E10
1562574599999,3.36561193E10,1562574599999,3.36561193E10
1562578199999,3.42611579E10,1562578199999,3.42611579E10
1562581799999,3.4938626E10,1562581799999,3.4938626E10
1562585399999,3.5382591E10,1562585399999,3.5382591E10
1562588999999,3.5235836E10,1562588999999,3.5235836E10
1562592599999,3.39947131E10,1562592599999,3.39947131E10
1562596199999,3.33508731E10,1562596199999,3.33508731E10
1562599799999,3.4403693E10,1562599799999,3.4403693E10
1562603399999,3.5687928E10,1562603399999,3.5687928E10
1562606999999,3.8863929E10,1562606999999,3.8863929E10
1562610599999,4.0987099E10,1562610599999,4.0987099E10
1562614199999,3.8974648E10,1562614199999,3.8974648E10
1562617799999,3.38849956E10,1562617799999,3.38849956E10
1562621399999,2.87592161E10,1562621399999,2.87592161E10
1562624999999,2.19511357E10,1562624999999,2.19511357E10
1562628599999,1.78529812E10,1562628599999,1.78529812E10
1562632199999,1.60112988E10,1562632199999,1.60112988E10
1562635799999,1.47277947E10,1562635799999,1.47277947E10
1562639399999,1.41210993E10,1562639399999,1.41210993E10
1562642999999,1.55830825E10,1562642999999,1.55830825E10
1562646599999,1.99079178E10,1562646599999,1.99079178E10
1562650199999,2.51245076E10,1562650199999,2.51245076E10
1562653799999,2.92870554E10,1562653799999,2.92870554E10
1562657399999,3.21219932E10,1562657399999,3.21219932E10
1562660999999,3.28027464E10,1562660999999,3.28027464E10
1562664599999,3.38079416E10,1562664599999,3.38079416E10
1562668199999,3.4761232E10,1562668199999,3.4761232E10
1562671799999,3.4669138E10,1562671799999,3.4669138E10
1562675399999,3.4437702E10,1562675399999,3.4437702E10
1562678999999,3.4602254E10,1562678999999,3.4602254E10
1562682599999,3.39451535E10,1562682599999,3.39451535E10
1562686199999,3.5094106E10,1562686199999,3.5094106E10
1562689799999,3.5569099E10,1562689799999,3.5569099E10
1562693399999,3.8844711E10,1562693399999,3.8844711E10
1562696999999,4.0709558E10,1562696999999,4.0709558E10
1562700599999,3.8171247E10,1562700599999,3.8171247E10
1562704199999,3.27171727E10,1562704199999,3.27171727E10
1562707799999,2.70672015E10,1562707799999,2.70672015E10
1562711399999,2.10585436E10,1562711399999,2.10585436E10
1562714999999,1.81912781E10,1562714999999,1.81912781E10
1562718599999,1.52040468E10,1562718599999,1.52040468E10
1562722199999,1.45725102E10,1562722199999,1.45725102E10
1562725799999,1.48146166E10,1562725799999,1.48146166E10
1562729399999,1.70831104E10,1562729399999,1.70831104E10
1562732999999,2.04235223E10,1562732999999,2.04235223E10
1562736599999,2.57505219E10,1562736599999,2.57505219E10
1562740199999,3.03263171E10,1562740199999,3.03263171E10
1562743799999,3.21957642E10,1562743799999,3.21957642E10
1562747399999,3.24390277E10,1562747399999,3.24390277E10
1562750999999,3.32338545E10,1562750999999,3.32338545E10
1562754599999,3.38262917E10,1562754599999,3.38262917E10
1562758199999,3.4462364E10,1562758199999,3.4462364E10
1562761799999,3.41404221E10,1562761799999,3.41404221E10
1562765399999,3.35977861E10,1562765399999,3.35977861E10
1562768999999,3.35395942E10,1562768999999,3.35395942E10
1562772599999,3.26735688E10,1562772599999,3.26735688E10
1562776199999,3.3870676E10,1562776199999,3.3870676E10
1562779799999,3.6082545E10,1562779799999,3.6082545E10
1562783399999,3.8430286E10,1562783399999,3.8430286E10
1562786999999,3.7962363E10,1562786999999,3.7962363E10
1562790599999,3.24358779E10,1562790599999,3.24358779E10
1562794199999,2.66123121E10,1562794199999,2.66123121E10
1562797799999,2.06855229E10,1562797799999,2.06855229E10
1562801399999,1.70725632E10,1562801399999,1.70725632E10
1562804999999,1.49587446E10,1562804999999,1.49587446E10
1562808599999,1.42937457E10,1562808599999,1.42937457E10
1562812199999,1.3773439E10,1562812199999,1.3773439E10
1562815799999,1.51775007E10,1562815799999,1.51775007E10
1562819399999,1.91837225E10,1562819399999,1.91837225E10
1562822999999,2.39025357E10,1562822999999,2.39025357E10
1562826599999,2.87633265E10,1562826599999,2.87633265E10
1562830199999,3.07106857E10,1562830199999,3.07106857E10
1562833799999,3.11102833E10,1562833799999,3.11102833E10
1562837399999,3.16943729E10,1562837399999,3.16943729E10
1562840999999,3.27631237E10,1562840999999,3.27631237E10
1562844599999,3.31494298E10,1562844599999,3.31494298E10
1562848199999,3.36127877E10,1562848199999,3.36127877E10
1562851799999,3.29546691E10,1562851799999,3.29546691E10
1562855399999,3.2755497E10,1562855399999,3.2755497E10
1562858999999,3.25764813E10,1562858999999,3.25764813E10
1562862599999,3.31711611E10,1562862599999,3.31711611E10
1562866199999,3.5192041E10,1562866199999,3.5192041E10
1562869799999,3.8331056E10,1562869799999,3.8331056E10
1562873399999,3.5938681E10,1562873399999,3.5938681E10
1562876999999,3.1440642E10,1562876999999,3.1440642E10
1562880599999,2.65214013E10,1562880599999,2.65214013E10
1562884199999,2.07819919E10,1562884199999,2.07819919E10
1562887799999,1.76404767E10,1562887799999,1.76404767E10
1562891399999,1.52125993E10,1562891399999,1.52125993E10
1562894999999,1.39995914E10,1562894999999,1.39995914E10
1562898599999,1.32999465E10,1562898599999,1.32999465E10
1562902199999,1.49371003E10,1562902199999,1.49371003E10
1562905799999,1.87968922E10,1562905799999,1.87968922E10
1562909399999,2.38193787E10,1562909399999,2.38193787E10
1562912999999,2.95350641E10,1562912999999,2.95350641E10
1562916599999,3.1235838E10,1562916599999,3.1235838E10
1562920199999,3.19758111E10,1562920199999,3.19758111E10
1562923799999,3.280307E10,1562923799999,3.280307E10
1562927399999,3.19740948E10,1562927399999,3.19740948E10
1562930999999,3.31985859E10,1562930999999,3.31985859E10
