,data,_cacheHit
101,"{'updated_at': '2020-03-16T22:53:02.000Z', 'date': '2020-03-16', 'deaths': 7103, 'confirmed': 178565, 'recovered': 77757, 'new_confirmed': 14129, 'new_recovered': 2062, 'new_deaths': 691, 'active': 93705}",True
102,"{'updated_at': '2020-03-15T17:20:19.000Z', 'date': '2020-03-15', 'deaths': 4585, 'confirmed': 139751, 'recovered': 73151, 'new_confirmed': 7562, 'new_recovered': 3028, 'new_deaths': 253, 'active': 62015}",True
103,"{'updated_at': '2020-03-14T22:33:02.000Z', 'date': '2020-03-14', 'deaths': 6178, 'confirmed': 158781, 'recovered': 72648, 'new_confirmed': 14664, 'new_recovered': 2757, 'new_deaths': 783, 'active': 79955}",True
104,"{'updated_at': '2020-03-13T22:53:03.000Z', 'date': '2020-03-13', 'deaths': 5397, 'confirmed': 144527, 'recovered': 69930, 'new_confirmed': 16857, 'new_recovered': 1929, 'new_deaths': 682, 'active': 69200}",True
105,"{'updated_at': '2020-03-12T22:44:32.000Z', 'date': '2020-03-12', 'deaths': 3810, 'confirmed': 109467, 'recovered': 66720, 'new_confirmed': 2459, 'new_recovered': 1313, 'new_deaths': 103, 'active': 38937}",True
106,"{'updated_at': '2020-03-11T22:53:02.000Z', 'date': '2020-03-11', 'deaths': 4613, 'confirmed': 125252, 'recovered': 66688, 'new_confirmed': 7530, 'new_recovered': 2402, 'new_deaths': 360, 'active': 53951}",True
107,"{'updated_at': '2020-03-10T22:53:02.000Z', 'date': '2020-03-10', 'deaths': 4252, 'confirmed': 117569, 'recovered': 64270, 'new_confirmed': 4975, 'new_recovered': 1832, 'new_deaths': 271, 'active': 49047}",True
108,"{'updated_at': '2020-03-09T22:33:02.000Z', 'date': '2020-03-09', 'deaths': 3987, 'confirmed': 112077, 'recovered': 62322, 'new_confirmed': 3768, 'new_recovered': 1817, 'new_deaths': 193, 'active': 45768}",True
109,"{'updated_at': '2020-03-08T21:03:11.000Z', 'date': '2020-03-08', 'deaths': 3796, 'confirmed': 108774, 'recovered': 60609, 'new_confirmed': 3978, 'new_recovered': 2353, 'new_deaths': 245, 'active': 44369}",True
110,"{'updated_at': '2020-03-07T19:43:03.000Z', 'date': '2020-03-07', 'deaths': 3551, 'confirmed': 104783, 'recovered': 58293, 'new_confirmed': 4030, 'new_recovered': 2493, 'new_deaths': 98, 'active': 42939}",True
111,"{'updated_at': '2020-03-06T19:43:03.000Z', 'date': '2020-03-06', 'deaths': 3453, 'confirmed': 100872, 'recovered': 55800, 'new_confirmed': 3911, 'new_recovered': 2039, 'new_deaths': 112, 'active': 41619}",True
112,"{'updated_at': '2020-03-05T22:53:02.000Z', 'date': '2020-03-05', 'deaths': 3339, 'confirmed': 96973, 'recovered': 53744, 'new_confirmed': 2758, 'new_recovered': 2626, 'new_deaths': 94, 'active': 39890}",True
